Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
1/1/2022,Widget C,South,786,26,Male,2.87440724
1/2/2022,Widget D,East,850,29,Male,3.365204596
1/3/2022,Widget A,North,871,40,Female,4.547363611
1/4/2022,Widget C,South,464,31,Male,4.555420394
1/5/2022,Widget C,South,262,50,Female,3.982934935
1/6/2022,Widget D,East,147,35,Female,1.140627968
1/7/2022,Widget A,North,610,66,Male,3.300281676
1/8/2022,Widget A,South,428,58,Male,4.146333883
1/9/2022,Widget C,West,939,26,Male,1.069152179
1/10/2022,Widget B,West,215,40,Male,3.198738455
1/11/2022,Widget C,West,948,27,Female,4.431056583
1/12/2022,Widget C,North,436,36,Male,2.896408303
1/13/2022,Widget C,South,980,64,Male,1.016424812
1/14/2022,Widget C,West,836,22,Female,1.044053433
1/15/2022,Widget D,North,963,64,Female,2.66654415
1/16/2022,Widget A,West,939,69,Female,1.62003467
1/17/2022,Widget D,East,246,40,Female,3.657802628
1/18/2022,Widget D,South,674,47,Male,3.83519706
1/19/2022,Widget D,South,905,42,Male,1.711519182
1/20/2022,Widget C,North,422,45,Female,4.554133154
1/21/2022,Widget B,North,542,51,Female,2.76763138
1/22/2022,Widget A,South,936,62,Male,1.57138363
1/23/2022,Widget B,West,112,65,Male,4.057006392
1/24/2022,Widget D,West,593,64,Male,4.159898
1/25/2022,Widget D,East,800,42,Male,3.557181891
1/26/2022,Widget B,West,386,27,Male,4.413862213
1/27/2022,Widget B,North,819,31,Female,3.949491888
1/28/2022,Widget B,North,213,59,Female,4.528822949
1/29/2022,Widget D,West,579,63,Female,2.735552194
1/30/2022,Widget D,North,121,47,Female,3.990388512
1/31/2022,Widget A,South,448,58,Male,4.999006254
2/1/2022,Widget A,South,825,42,Female,3.89972479
2/2/2022,Widget D,West,782,31,Male,1.456735121
2/3/2022,Widget B,South,934,52,Male,3.07327489
2/4/2022,Widget B,South,665,69,Male,3.349391165
2/5/2022,Widget A,East,909,65,Male,1.6968427
2/6/2022,Widget D,East,419,51,Male,4.851566537
2/7/2022,Widget A,South,225,27,Male,1.702319111
2/8/2022,Widget A,West,376,52,Male,1.710231679
2/9/2022,Widget C,East,303,28,Female,4.660668552
2/10/2022,Widget C,North,293,28,Male,2.860821732
2/11/2022,Widget C,North,780,38,Female,1.252753117
2/12/2022,Widget B,North,763,38,Female,3.39275
2/13/2022,Widget D,West,646,39,Male,3.407305395
2/14/2022,Widget D,South,795,62,Male,1.258003035
2/15/2022,Widget D,North,385,24,Female,4.890089983
2/16/2022,Widget D,West,156,34,Female,3.176119861
2/17/2022,Widget C,East,833,19,Female,3.239182889
2/18/2022,Widget B,South,402,29,Female,3.080461658
2/19/2022,Widget B,East,262,59,Male,3.442927119
2/20/2022,Widget C,West,118,35,Male,2.057199011
2/21/2022,Widget B,North,469,28,Male,2.148965392
2/22/2022,Widget C,North,363,33,Female,3.045356359
2/23/2022,Widget D,West,893,66,Male,4.226743419
2/24/2022,Widget C,North,212,68,Female,1.199458306
2/25/2022,Widget D,South,587,35,Male,3.413616849
2/26/2022,Widget D,West,426,52,Female,4.22711257
2/27/2022,Widget A,East,641,43,Male,1.627669088
2/28/2022,Widget C,West,746,33,Male,1.060090168
3/1/2022,Widget A,South,678,23,Female,2.250853181
3/2/2022,Widget C,South,164,61,Female,3.352574827
3/3/2022,Widget C,West,391,60,Female,1.553132694
3/4/2022,Widget A,West,124,64,Female,2.704489484
3/5/2022,Widget A,North,648,64,Female,3.209285989
3/6/2022,Widget C,South,100,65,Male,3.395532379
3/7/2022,Widget B,West,648,59,Female,2.097646884
3/8/2022,Widget D,West,240,29,Male,2.600118544
3/9/2022,Widget A,South,843,30,Male,4.113356916
3/10/2022,Widget D,West,747,21,Male,4.764858776
3/11/2022,Widget B,North,287,56,Male,4.447521324
3/12/2022,Widget B,South,227,19,Male,3.257134007
3/13/2022,Widget B,North,300,43,Female,2.641171212
3/14/2022,Widget A,North,226,44,Female,2.331826457
3/15/2022,Widget B,North,356,44,Male,1.499826264
3/16/2022,Widget A,North,775,32,Male,1.426204989
3/17/2022,Widget B,South,646,25,Female,3.7534305
3/18/2022,Widget D,North,293,24,Female,2.039177665
3/19/2022,Widget D,North,802,64,Male,2.018646746
3/20/2022,Widget C,West,203,63,Female,4.992780218
3/21/2022,Widget D,South,634,57,Female,1.751703831
3/22/2022,Widget C,South,364,29,Female,1.592239038
3/23/2022,Widget D,East,901,30,Male,1.394740911
3/24/2022,Widget A,South,483,60,Female,3.319221381
3/25/2022,Widget D,South,359,34,Male,3.511455304
3/26/2022,Widget C,East,513,34,Male,2.460911705
3/27/2022,Widget C,South,457,53,Male,3.141653342
3/28/2022,Widget B,South,174,38,Male,4.153598124
3/29/2022,Widget A,South,454,25,Male,4.272416673
3/30/2022,Widget D,South,683,22,Female,4.831648303
3/31/2022,Widget B,East,870,43,Male,4.297071944
4/1/2022,Widget D,South,287,33,Male,3.259365747
4/2/2022,Widget D,South,784,53,Male,1.718627863
4/3/2022,Widget B,East,389,45,Female,1.399054231
4/4/2022,Widget B,West,144,46,Female,1.21804756
4/5/2022,Widget B,North,672,64,Female,3.666103327
4/6/2022,Widget B,West,182,29,Female,4.230145022
4/7/2022,Widget B,East,222,54,Female,3.034735803
4/8/2022,Widget D,North,457,47,Female,1.218856699
4/9/2022,Widget B,East,627,40,Female,3.141882298
4/10/2022,Widget A,East,165,33,Male,4.742997046
4/11/2022,Widget C,South,756,31,Male,3.390452764
4/12/2022,Widget B,North,474,27,Female,4.237709954
4/13/2022,Widget B,South,261,24,Male,4.200610594
4/14/2022,Widget D,North,845,62,Male,4.728516399
4/15/2022,Widget B,East,479,69,Female,4.080915063
4/16/2022,Widget B,East,755,54,Male,3.990802056
4/17/2022,Widget B,West,457,46,Male,1.93641066
4/18/2022,Widget D,North,287,20,Female,1.239700621
4/19/2022,Widget B,South,421,32,Male,3.07039786
4/20/2022,Widget C,West,549,53,Female,1.497736832
4/21/2022,Widget D,West,573,64,Female,4.848783505
4/22/2022,Widget C,West,112,63,Male,2.159699051
4/23/2022,Widget D,South,283,69,Male,4.411776814
4/24/2022,Widget B,West,210,36,Male,2.550498501
4/25/2022,Widget C,South,607,30,Female,2.292776999
4/26/2022,Widget D,West,389,59,Female,4.74063429
4/27/2022,Widget A,South,394,38,Female,2.453290288
4/28/2022,Widget B,East,550,54,Male,2.561151635
4/29/2022,Widget D,East,314,44,Male,1.424367118
4/30/2022,Widget A,East,731,69,Female,3.681786661
5/1/2022,Widget D,East,993,46,Male,2.155357658
5/2/2022,Widget A,East,666,37,Male,3.342416671
5/3/2022,Widget B,West,126,42,Female,3.365406816
5/4/2022,Widget C,West,729,23,Female,3.876798782
5/5/2022,Widget A,West,832,53,Male,3.980965945
5/6/2022,Widget D,South,330,19,Female,3.057809738
5/7/2022,Widget B,South,664,39,Male,2.32396779
5/8/2022,Widget A,South,906,49,Female,4.349803579
5/9/2022,Widget D,South,420,33,Female,2.239462598
